"src_latitude","src_longitude","n"
"-33.5167","-70.7667","9519"
"22.7639","-102.6064","12705"
"28.4088","-106.8632","47318"
"55.8744","38.2017","1036821"
"23.65","90.49","89883"
"34.5718","136.3064","9"
"42.5138","-82.9396","853"
"-8.0475","111.709","574400"
"41.6255","-86.2433","1001"
"37.2799","-75.9721","1547"
"57.5103","24.7142","1059"
"28.0109","-82.4948","100280"
"29.4667","77.6833","49315"
"38.6975","-121.2714","14"
"19.3253","-98.2084","1748"
"41.7333","24.4","516"
"37.75","140.4667","187"
"38.04","12.6151","20"
"34.1765","-118.614","274"
"42.9","23.7833","401"
"37.2172","140.366","249"
"43.2561","-79.8575","353"
"52.9863","6.5293","12"
"40.8322","14.1045","1462"
"37.5751","-6.7543","6828"
"47.5525","-114.1054","479"
"41.8883","-87.7613","57"
"34.2106","-118.8716","211"
"25.6839","51.5058","38129"
"60.4099","22.3825","97"
"36.2134","-86.7311","284"
"21.7121","109.141","309"
"-20.155","34.7317","71"
"-25.3667","-54.75","79"
"42.364","-71.0265","86"
"35.713","139.6876","191"
"42.9422","126.0561","10"
"34.137","-118.2376","351"
"48.2","15.6333","39"
"44.8983","-76.2449","36"
"-25.7458","-53.0913","239093"
"19.34","-99.1568","146639"
"47.5776","-80.2036","48"
"56.2553","62.9244","192005"
"47.3454","4.4088","1617"
"37.141","-3.6185","696"
"45.6513","11.86","314"
"40.0201","-83.0118","105"
"19.6","74.5","5872"
"46.35","18.7167","85110"
"35.9641","140.6303","278"
"-31.8329","115.7759","18"
"41.3908","-73.4483","13"
"28.133","121.2266","8174"
"45.9603","14.5289","247"
"35.1917","137.225","4"
"52.2235","5.1752","708"
"42.3016","-83.0307","148"
"28.1421","-82.5905","92"
"-20.0091","-51.3463","417"
"40.7319","-74.0775","715"
"51.2461","22.5344","157526"
"46.3646","-116.8609","114"
"42.9934","-84.1595","2131"
"33.806","-116.4624","841"
"34.8287","135.4594","63"
"33.4601","-117.6382","290"
"42.7242","-87.8551","36"
"9.5667","99.15","567"
"18.218","-66.226","40"
"44.4167","8.95","246"
"-7.0272","-34.8504","4365"
"43.6064","10.5357","237"
"53.5364","-1.34","249"
"53.1106","19.328","4"
"51.35","4.6333","14"
"36.3641","139.114","1049"
"40.2655","-82.8511","112"
"34.0964","-117.9682","123036"
"53.8664","34.4478","1099"
"35.2733","139.1782","1"
"28.0967","-82.6964","204"
"42.2768","-83.3758","36"
"43.6803","-79.3538","181"
"37.8664","-122.257","207"
"50.9674","19.275","93"
"-25.1667","-57.55","34"
"53.3453","-7.0497","22"
"59.0544","18.4283","1"
"-22.7816","-47.2713","34"
"52.4966","4.81","128"
"55.5322","41.9703","16105"
"43.0123","-81.2307","151"
"36.3539","127.3367","37"
"33.5261","130.487","59"
"12.55","77.4167","346"
"53.4418","-2.161","75"
"51.4469","-0.1384","139"
"35.9056","14.4761","1587026"
"32.4783","-84.8985","458"
"45.1253","14.5281","25"
"-17.7433","-48.6204","1992"
"52.2835","10.5822","3"
"45.5671","-73.8994","323"
"42.0212","-71.2178","630"
"45.5833","-73.6","10"
"48.8884","21.6848","43"
"-27.75","29.9333","444"
"44.4271","84.9007","1159"
"45.1393","-95.0523","315"
"51.753","-0.3256","61"
"52.1838","20.9637","321"
"41.7","2.45","394"
"48.9425","2.8062","31"
"8.6219","-71.6506","479"
"53.0925","-2.389","28"
"-27.0479","-50.8069","312"
"13.6833","102.5","997"
"35.8054","-97.0159","97"
"52.7087","1.4119","7"
"42.5535","-88.8705","1"
"59.5344","18.0776","32"
"42.4544","-89.0887","129"
"45.5167","4.8667","617"
"24.4712","-100.319","588"
"28.419","30.7792","6"
"44.9064","-89.5818","1216"
"2.2428","102.2376","12"
"-12.4611","130.8418","100"
"26.2845","-81.7563","40"
"10.4889","-68.2003","39420"
"49.3789","10.1871","356"
"45.5412","27.5406","28"
"45.415","-122.52","565"
"39.877","-84.3319","197"
"-11.6285","-40.5149","137"
"39.2125","-76.9515","121"
"45.3668","-73.5659","40"
"37.3296","14.7447","191"
"-34.031","151.0553","94"
"41.7517","1.9036","46"
"35.6931","139.6372","1999"
"-28.6333","-52.9667","5142"
"52.8258","36.2528","273"
"40.4897","68.7842","182459"
"44.5168","-80.0164","41"
"36.6718","4.1918","113"
"7.7667","-80.2833","80"
"33.9196","134.6536","9"
"40.1894","39.1267","8"
"-6.7332","-35.695","544"
"50.5333","14.9833","21"
"33.4858","-89.7277","9"
"50.9143","-1.2698","81"
"35.0506","-106.7249","50"
"56.0283","35.5097","10"
"-26.8","-65.35","88"
"20.3492","-102.0412","39"
"-21.2882","-46.8223","74"
"14.1","-87.1167","28"
"40.9086","-73.8221","23"
"36.5493","-93.3388","11"
"37.7606","128.0282","7"
"45.4201","11.2845","45"
"-16.4388","-49.1812","184"
"51.6678","-3.2075","101"
"37.7094","43.9894","76898"
"35.6966","139.6452","52"
"37.8107","-5.0204","15"
"50.6779","21.5793","5"
"19.9523","-102.3078","162"
"55.5827","37.9052","6384"
"14.75","79.05","131"
"52.1606","5.3656","18"
"47.1033","24.4495","25"
"34.75","10.7833","27"
"37.8298","-120.1037","8"
"36.7969","-76.1797","15"
"51.6566","7.1101","16"
"35.5643","139.2393","2"
"22.2833","104.6833","12381"
"31.3871","130.8691","1"
"26.3462","126.7483","19"
"53.4891","-10.0191","64"
"32.9015","-84.3324","66"
"-21.1815","-55.7586","542"
"-32.75","-64.3333","1"
"34.9176","-82.1258","10"
"10.4333","-66.8167","1784"
"48.8605","9.1885","22"
"42.6","23.4167","1"
"51.0333","4.0","45"
"40.8623","-74.0756","21"
"-17.2276","-49.9667","42"
"36.6538","103.314","111"
"32.0142","34.9325","33"
"-33.8499","151.034","196"
"51.5612","15.5285","41"
"48.138","7.2639","47"
"-38.1167","145.3333","31"
"52.0988","9.395","2"
"-31.0","-62.6667","23"
"56.3345","10.3819","8"
"40.7643","-74.148","55"
"34.4667","135.3667","4"
"34.9","-86.4487","6"
"60.8225","9.5521","83"
"21.135","-101.7497","15"
"52.3151","9.7974","55"
"33.9167","134.65","236"
"53.1409","23.136","298"
"34.4734","135.3987","767"
"51.5868","5.0519","314"
"50.3541","30.1255","46"
"51.5208","7.5184","12"
"41.865","21.9428","7"
"51.4834","6.8798","7"
"52.6663","8.2375","23"
"49.4","15.5833","35"
"39.4177","141.1789","1"
"43.426","-80.5438","28"
"36.3275","136.3852","113"
"44.0998","9.7387","907"
"40.0085","-3.0073","1083"
"53.3097","83.6239","386"
"47.3999","-61.7996","24"
"41.435","-75.6103","26"
"36.7175","-94.1091","7"
"51.3194","-2.2026","14"
"36.3975","-97.9157","7"
"-33.8919","150.6046","32"
"50.5743","19.3261","6"
"37.554","138.8859","9"
"52.6618","1.2807","5"
"44.991","-122.7627","16"
"34.8229","135.3721","5"
"-2.5863","121.2778","199"
"54.3074","86.2927","5"
"42.0962","-88.2902","50"
"-29.3667","-51.1333","2"
"43.2096","-3.369","113"
"55.9344","-3.7449","212"
"40.2993","8.4983","14"
"62.9167","34.5833","2"
"40.8943","-73.9801","2"
"48.2156","18.607","7"
"45.8025","20.1258","46"
"35.3936","139.6097","20"
"52.9946","15.2125","8"
"34.8628","138.2336","2"
"27.8293","-82.1357","10"
"35.8691","10.5653","125"
"19.9802","-155.2323","2"
"-35.2667","-59.7667","14"
"35.6833","139.55","523"
"51.3833","-0.1","6"
"49.1272","18.6865","1"
"52.4184","16.893","2"
"34.6609","135.4907","90113"
"35.2144","-97.4536","8"
"48.2522","17.2154","2"
"25.8965","-80.157","7"
"45.4435","12.1723","2"
"44.4587","-93.1668","12"
"53.1622","11.7424","10"
"51.5","-0.5","8"
"35.0044","135.8683","6"
"35.3261","139.4393","34"
"49.4504","11.0778","145"
"36.0994","44.8244","20"
"43.0294","141.4777","9"
"53.234","-1.4462","228"
"43.4333","23.75","10"
"18.2186","-66.5916","1"
"49.3","6.8167","11"
"50.3508","106.4494","226"
"52.1427","21.1394","1"
"45.3833","22.3333","3"
"42.197","12.3084","2"
"52.203","8.0448","14"
"48.1191","-96.1811","227"
"62.8776","27.6231","1"
"46.4306","14.0669","10"
"35.86","139.6698","1"
"52.0082","4.3359","8"
"48.5265","8.5658","14"
"45.4575","11.8855","115"
"51.4997","7.1944","5"
"46.0112","-122.8166","8"
"50.9273","30.7605","339"
"52.0023","4.3287","1120"
"43.1667","70.4667","198"
"43.5987","7.0043","17"
"-6.6333","-36.25","11"
"54.0684","-2.8611","4"
"38.832","-77.12","4"
"52.2375","7.9611","2"
"38.8173","-77.2905","2"
"32.3","75.9","47"
"-31.9833","-60.5833","3"
"46.2871","-75.6294","2"
"45.3143","26.1509","3"
"44.1271","-88.207","1"
"51.0587","17.0207","2"
"5.6667","73.0","16"
"35.5376","-82.7001","2"
"28.3667","-16.5333","160"
"5.1","-1.25","11"
"44.9947","-123.0147","18"
"41.6469","-85.9728","2"
"52.3515","16.9698","1"
"32.5892","-96.944","3"
"44.4804","8.4937","3"
"36.6333","139.9833","2"
"11.4597","-69.5664","5"
"35.1","135.4667","23"
"41.1484","-8.3633","1"
"48.676","-1.8523","1"
"35.6742","139.6255","1"
"40.9007","9.1046","1"
"49.8347","9.0426","2"
"49.5073","19.5238","113"
"37.8758","138.9927","1"
"34.934","135.894","4"
"-33.8833","151.25","62020"
"33.1409","120.608","1"
"48.587","1.5785","1"
"3.2333","10.7333","1"
"41.9881","-91.876","1"
"50.0333","16.5","1"
"-4.1667","-40.5833","2"
"33.5831","130.3668","1"
"39.2771","-77.8563","6"
"53.4526","9.8619","1"
"45.6128","9.5297","2"
"35.7223","140.0367","1"
"2.9555","102.0719","16"
"34.3693","133.9501","1"
"47.6178","28.2344","30"
"47.5402","7.5693","2"
"-33.2833","-69.1833","5"
"-15.461","-55.75","3"
"34.0557","-118.0444","2"
"45.5287","-122.6363","2"
"43.0849","141.3439","1"
"35.8765","139.6442","214"
"47.3833","17.7","2"
"42.8194","141.6522","114"
"51.7872","19.4248","5709"
"38.8589","-99.1391","2"
"53.4094","14.4906","2"
"51.8083","12.241","1"
"41.0639","-8.5587","1"
"43.8312","5.0359","1"
"51.9817","4.3449","2"
"31.5642","-7.6704","1"
"19.0528","108.9308","3"
"26.3078","127.8207","1"
"52.1494","19.29","5"
"46.6754","5.5557","2"
"39.2947","22.3847","4"
"48.5609","7.59","1"
"48.6592","2.2415","2"
"49.1167","16.4833","2"
"43.6547","-79.3623","4609752"
"23.1167","113.25","23458350"
"16.4164","120.5931","2976493"
"53.0","28.0","2487996"
"10.1611","-63.8","1938763"
"14.7242","15.7917","4193"
"49.5937","34.5407","9477042"
"32.9408","117.3608","1555047"
"51.5531","-0.3023","94931"
"21.0","57.0","95156"
"10.9711","-74.7837","929843"
"41.2217","21.2031","132850"
"46.0503","14.5046","156531"
"45.696","9.6672","367629"
"-23.4262","-45.0363","120148"
"43.25","46.5881","289345"
"13.7594","121.06","273733"
"-2.4358","-54.6887","484"
"56.0172","37.8667","406857"
"43.8294","18.3","6889"
"11.0667","106.8","273705"
"18.2341","-66.0485","3952"
"17.4046","103.7674","93873"
"33.3804","-112.0246","49684"
"21.009","-101.2682","20780"
"20.55","-97.45","18883"
"18.0167","103.2833","25283"
"6.758","101.3775","72371"
"-13.3909","-44.1976","124947"
"41.6904","-87.6157","113"
"19.3308","-98.9427","340219"
"13.89","100.4333","428834"
"19.5667","-70.8667","169806"
"37.476","126.4751","17610"
"54.4436","32.6633","227"
"47.6076","17.7819","24205"
"35.6206","-80.4029","211"
"44.6167","26.1167","77292"
"59.2833","18.0667","349045"
"11.7891","34.3592","9115"
"29.9667","78.1667","77686"
"-12.0206","-60.2753","17162"
"38.917","-119.9865","5283"
"10.7753","77.8302","39942"
"14.2592","101.0683","4135"
"-29.6333","-51.0","8"
"-22.4751","-48.547","2947"
"2.8093","101.8334","1270"
"42.3695","13.2594","366"
"-37.8667","145.2833","222"
"35.7847","139.7788","93"
"52.307","8.6142","2496"
"17.3083","78.5326","11998"
"-7.1475","111.5906","12056"
"35.9875","-84.1168","5135"
"14.9547","120.8969","95797"
"40.1136","-74.9396","384"
"35.663","139.6481","801"
"48.9735","20.4844","207"
"55.1347","37.9447","112"
"-22.4167","-42.9782","2490"
"44.9372","-93.1209","2883"
"14.6761","120.5361","33866"
"33.9361","116.3642","5200"
"20.7072","81.5497","140"
"35.4367","139.9333","270282"
"32.1167","20.0667","231184"
"20.0586","-102.7157","1104"
"40.8829","14.918","1089"
"41.7672","-8.5839","451412"
"5.8726","-74.6403","682"
"39.8013","-75.0031","1677"
"39.2954","-80.2427","329"
"-22.131","-51.6443","87269"
"19.5197","-99.2572","4291"
"28.5826","-81.1907","1997"
"6.8617","101.365","8794"
"20.8191","106.4066","14623"
"39.7381","-96.1486","1143"
