closing_store,city,st
Maryville Commons,Maryville,TN
West Towne Shopping Center,Jackson,TN
Lubbock Shopping Center,Lubbock,TX
Kb Plaza,Amarillo,TX
Westview S/C,Plainview,TX
2201 Texoma Pkwy,Sherman,TX
San Benito Plaza,San Benito,TX
3712 Gulfway Dr,Port Arthur,TX
Sunset Mall,San Angelo,TX
9405 Jensen Dr,Houston,TX
Telephone Rd Sc,Houston,TX
Roanoke Crossing Shops,Roanoke,TX
Haberle Plaza,Jacksonville,TX
Crossroads Sc,Vidor,TX
The Marketplace At Bob Bullock,Laredo,TX
Irving Town Center,Irving,TX
2011 S Gregg St,Big Spring,TX
The Crossing,Mineral Wells,TX
Cielo Vista Mall,El Paso,TX
Collin Creek Mall,Plano,TX
Dumas Center,Dumas,TX
Pearland Parkway Village,Houston,TX
El Dorado Marketplace,Friendswood,TX
Sunland Park Mall,El Paso,TX
Killeen Mall,Killeen,TX
The Crossing At Fort Bend,Houston,TX
2121 S Brahma,Kingsville,TX
Hearthstone Corners,Houston,TX
5150 Southland Blvd,San Angelo,TX
Four Corners-Angleton,Angleton,TX
308 W Commerce,Brownwood,TX
Eastgate Sc,Bellmead,TX
1813 South Padre Island Drive,Corpus Christi,TX
2664 Demory Lane,Aransas Pass,TX
Parliament Plaza,San Antonio,TX
4605 Avenue H,Rosenberg,TX
Weatherford Commons,Weatherford,TX
Beach Street Commons,Fort Worth,TX
1020 Sw Military Dr,San Antonio,TX
2927 Nogalitos,San Antonio,TX
11003 1/2 Market Street Rd,Houston,TX
9417 Mesa,Houston,TX
5401 Kenwood Drive,Rowlett,TX
7715 Wesley Rd,Greenville,TX
Valle Vista Mall,Harlingen,TX
2219 Fulton Street,Houston,TX
119 S Stanton St,El Paso,TX
Sharyland Towne Crossing,Mission,TX
Laredo Crossing,Laredo,TX
Military Drive Plaza,San Antonio,TX
Barton Creek Square,Austin,TX
Austin Highway Retail Center,San Antonio,TX
Walzem Plaza,San Antonio,TX
Spencer Shopping Center,South Houston,TX
201 Convent Ave,Laredo,TX
Madison'S Market Sc,San Antonio,TX
Parkdale Mall,Beaumont,TX
Shops At Tech Ridge,Austin,TX
100 Soledad,San Antonio,TX
Sikes Center Mall,Wichita Falls,TX
100 W Main St,Eagle Pass,TX
Dellview Marketplace,San Antonio,TX
Fiesta Shopping Center,Houston,TX
Bay Park Sc,La Marque,TX
1900 N Lee Trevino Dr,El Paso,TX
Pioneer Parkway,Arlington,TX
Casa View Shopping Center,Dallas,TX
301 Constitution Dr,Copperas Cove,TX
Castle Rock Shpg Cntr,Price,UT
973 W North Temple,Salt Lake City,UT
9179 Village Shop Dr,Sandy,UT
Haygood Shopping Center,Virginia Beach,VA
Tanglewood Mall,Roanoke,VA
Chesapeake Square,Chesapeake,VA
Battlefield Shopping Center,Leesburg,VA
Virginia Center Commons,Glen Allen,VA
Chippenham Forest Square,Richmond,VA
Highgate Commons Shopping Center,Saint Albans,VT
Berlin Mall,Berlin,VT
College Market Place,Poulsbo,WA
Three Rivers Mall,Kelso,WA
Marysville Kmart Plaza,Marysville,WA
Cascade Mall,Burlington,WA
4181 N 56Th St,Milwaukee,WI
Grand Avenue Mall,Milwaukee,WI
Lincoln Plaza,Rhinelander,WI
Wausau Center Mall,Wausau,WI
Charleston Town Center,Charleston,WV
Morgantown Mall,Morgantown,WV
101 Gateway Blvd,Rock Springs,WY
Camel Plaza,Gillette,WY
Eastridge Mall,Casper,WY
